title,url,doi,publish_date,venue
"Historical Analysis of High‐Efficiency, Large‐Area Solar Cells: Toward Upscaling of Perovskite Solar Cells",https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202002202?saml_referrer,https://doi.org/10.1002/adma.202002202,2020-10-09,Advanced Materials
Solid‐State Electrolyte Design for Lithium Dendrite Suppression,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202002741,https://doi.org/10.1002/adma.202002741,2020-10-09,Advanced Materials
Dual‐Metal Interbonding as the Chemical Facilitator for Single‐Atom Dispersions,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202003484,https://doi.org/10.1002/adma.202003484,2020-10-08,Advanced Materials
Organic Long‐Persistent Luminescence from a Thermally Activated Delayed Fluorescence Compound,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003911,https://doi.org/10.1002/adma.202003911,2020-10-07,Advanced Materials
Scalable Functionalization of Optical Fibers Using Atomically Thin Semiconductors,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003826,https://doi.org/10.1002/adma.202003826,2020-10-06,Advanced Materials
"Mass‐Producible, Quasi‐Zero‐Strain, Lattice‐Water‐Rich Inorganic Open‐Frameworks for Ultrafast‐Charging and Long‐Cycling Zinc‐Ion Batteries",https://onlinelibrary.wiley.com/doi/10.1002/adma.202003592,https://doi.org/10.1002/adma.202003592,2020-10-05,Advanced Materials
Continuous Synthesis of Hollow High‐Entropy Nanoparticles for Energy and Catalysis Applications,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002853,https://doi.org/10.1002/adma.202002853,2020-10-05,Advanced Materials
"Progress in Materials, Solution Processes, and Long‐Term Stability for Large‐Area Organic Photovoltaics",https://onlinelibrary.wiley.com/doi/10.1002/adma.202002217,https://doi.org/10.1002/adma.202002217,2020-10-05,Advanced Materials
Realizing Few‐Layer Iodinene for High‐Rate Sodium‐Ion Batteries,https://onlinelibrary.wiley.com/doi/10.1002/adma.202004835,https://doi.org/10.1002/adma.202004835,2020-10-01,Advanced Materials
Dopant‐Driven Positive Reinforcement in Ex‐Solution Process: New Strategy to Develop Highly Capable and Durable Catalytic Materials,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003983,https://doi.org/10.1002/adma.202003983,2020-10-01,Advanced Materials
Direct Optical Patterning of Quantum Dot Light‐Emitting Diodes via In Situ Ligand Exchange,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003805,https://doi.org/10.1002/adma.202003805,2020-10-01,Advanced Materials
Energy Manipulation in Lanthanide‐Doped Core–Shell Nanoparticles for Tunable Dual‐Mode Luminescence toward Advanced Anti‐Counterfeiting,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002121,https://doi.org/10.1002/adma.202002121,2020-10-01,Advanced Materials
Solid‐State Thin‐Film Broadband Short‐Wave Infrared Light Emitters,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003830,https://doi.org/10.1002/adma.202003830,2020-09-30,Advanced Materials
Metal Halide Perovskite Nanorods: Shape Matters,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002736,https://doi.org/10.1002/adma.202002736,2020-09-28,Advanced Materials
Synergetic Structural Transformation of Pt Electrocatalyst into Advanced 3D Architectures for Hydrogen Fuel Cells,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002210,https://doi.org/10.1002/adma.202002210,2020-09-28,Advanced Materials
Broad‐Spectral‐Range Sustainability and Controllable Excitation of Hyperbolic Phonon Polaritons in α‐MoO3,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002014,https://doi.org/10.1002/adma.202002014,2020-09-27,Advanced Materials
Air‐Stable Low‐Symmetry Narrow‐Bandgap 2D Sulfide Niobium for Polarization Photodetection,https://onlinelibrary.wiley.com/doi/10.1002/adma.202005037,https://doi.org/10.1002/adma.202005037,2020-09-27,Advanced Materials
Recent Progress in Engineering the Atomic and Electronic Structure of Electrocatalysts via Cation Exchange Reactions,https://onlinelibrary.wiley.com/doi/10.1002/adma.202001866,https://doi.org/10.1002/adma.202001866,2020-09-27,Advanced Materials
Advances in the Design of 3D‐Structured Electrode Materials for Lithium–Metal Anodes,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002193,https://doi.org/10.1002/adma.202002193,2020-09-24,Advanced Materials
A Self‐Healing Amalgam Interface in Metal Batteries,https://onlinelibrary.wiley.com/doi/10.1002/adma.202004798,https://doi.org/10.1002/adma.202004798,2020-09-23,Advanced Materials
Organic Semiconductor–DNA Hybrid Assemblies,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002213,https://doi.org/10.1002/adma.202002213,2020-10-09,Advanced Materials
