Article Title,URL,DOI,Published Date,Journal,Corresponding Author,Institution,Major Label,Sub-label 1,Sub-label 2,Sub-label 3,Sub-label 4
"Historical Analysis of High‐Efficiency, Large‐Area Solar Cells: Toward Upscaling of Perovskite Solar Cells",https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202002202?saml_referrer,https://doi.org/10.1002/adma.202002202,09/10/2020,Advanced Materials,"Donghwan Kim, Hae-Seok Lee",Korea Institute of Energy Technology Evaluation and Planning,Materials for Energy & Catalysis,Solar cells,Perovskite,,
Solid‐State Electrolyte Design for Lithium Dendrite Suppression,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202002741,https://doi.org/10.1002/adma.202002741,09/10/2020,Advanced Materials,"Xiulin Fan, Chunsheng Wang","University of Maryland,
Zhejiang University",Materials for Energy & Catalysis,Batteries,Lithium metal batteries,Solid state batteries/Solid Electrolyte,
Dual‐Metal Interbonding as the Chemical Facilitator for Single‐Atom Dispersions,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202003484,https://doi.org/10.1002/adma.202003484,08/10/2020,Advanced Materials,"Zheng Liu, Jianjun Liu, Jiacheng Wang","University of Chinese Academy of Sciences,
Illinois Institute of Technology, Shanghai Institute of CeramicsChinese Academy of Sciences",Materials for Energy & Catalysis,Electrocatalysis,Hydrogen Evolution Reaction,"Nobel metals (Cu, Ag, Au, Ru, Rh, Ir, Pd, Pt)","Non precious metal (Fe, Ni, Co, Cr)"
Organic Long‐Persistent Luminescence from a Thermally Activated Delayed Fluorescence Compound,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003911,https://doi.org/10.1002/adma.202003911,07/10/2020,Advanced Materials,"Eil Zysman-Colman, Ifor D. W. Samuel",University of St Andrews ,Optics & Photonics,"Lasers,LEDs and light sources", Luminescence,Organic Materials,Nonlinear Optics
Scalable Functionalization of Optical Fibers Using Atomically Thin Semiconductors,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003826,https://doi.org/10.1002/adma.202003826,06/10/2020,Advanced Materials,"Antony George, Andrey Turchanin, Falk Eilenberger",Friedrich Schiller University,Optics & Photonics,Optoelectronics,Optical Fibers,Transitional Metal Dichalcogenide (TMDs) (MoS2/WS2),
"Mass‐Producible, Quasi‐Zero‐Strain, Lattice‐Water‐Rich Inorganic Open‐Frameworks for Ultrafast‐Charging and Long‐Cycling Zinc‐Ion Batteries",https://onlinelibrary.wiley.com/doi/10.1002/adma.202003592,https://doi.org/10.1002/adma.202003592,05/10/2020,Advanced Materials,Chuan-Fu Sun,University of Chinese Academy of Sciences,Materials for Energy & Catalysis,Batteries,Zinc ion batteries,Inorganic Open Framework ,
Continuous Synthesis of Hollow High‐Entropy Nanoparticles for Energy and Catalysis Applications,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002853,https://doi.org/10.1002/adma.202002853,05/10/2020,Advanced Materials,Liangbing Hu,University of Maryland,Materials for Energy & Catalysis,Lithium-O2 batteries,High Entropy Alloys,,
"Progress in Materials, Solution Processes, and Long‐Term Stability for Large‐Area Organic Photovoltaics",https://onlinelibrary.wiley.com/doi/10.1002/adma.202002217,https://doi.org/10.1002/adma.202002217,05/10/2020,Advanced Materials,Hae Jung Son,Korea University,Materials for Energy & Catalysis,Solar cells,Organic Solar Cells/Photovoltaic Cells,,
Realizing Few‐Layer Iodinene for High‐Rate Sodium‐Ion Batteries,https://onlinelibrary.wiley.com/doi/10.1002/adma.202004835,https://doi.org/10.1002/adma.202004835,01/10/2020,Advanced Materials,"Hua Wang, Li-min Liu, Lin Guo",Beihang University,Materials for Energy & Catalysis,Batteries,Sodium ion batteries,,
Dopant‐Driven Positive Reinforcement in Ex‐Solution Process: New Strategy to Develop Highly Capable and Durable Catalytic Materials,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003983,https://doi.org/10.1002/adma.202003983,01/10/2020,Advanced Materials,"Bong-Joong Kim, Jeong Woo Han, WooChul Jung, IL-Doo Kim","orea Advanced Institute of Science and Technology, Pohang University of Science and Technology ",Materials for Energy & Catalysis,Electrocatalysis,CO2/CO Reduction,"Trnasition Metal Oxides/Mixed metal oxides
(WO3)",Graphene
Direct Optical Patterning of Quantum Dot Light‐Emitting Diodes via In Situ Ligand Exchange,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003805,https://doi.org/10.1002/adma.202003805,01/10/2020,Advanced Materials,Dmitri V. Talapin,University of Chicago,Optics & Photonics,"Lasers,LEDs and light sources",Light-emitting diodes LEDs,Quantum Dots,Semiconductor material (CdSe)
Energy Manipulation in Lanthanide‐Doped Core–Shell Nanoparticles for Tunable Dual‐Mode Luminescence toward Advanced Anti‐Counterfeiting,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002121,https://doi.org/10.1002/adma.202002121,01/10/2020,Advanced Materials,"Xiaofei Yang, Haibo Zeng",Nanjing Forestry University,Optics & Photonics,"Lasers,LEDs and light sources", Luminescence,Lanthanide,
Solid‐State Thin‐Film Broadband Short‐Wave Infrared Light Emitters,https://onlinelibrary.wiley.com/doi/10.1002/adma.202003830,https://doi.org/10.1002/adma.202003830,30/09/2020,Advanced Materials,Gerasimos Konstantatos,The Barcelona Institute of Science and Technology,Optics & Photonics,"Lasers,LEDs and light sources",Light-emitting diodes LEDs,Quantum Dots,Semiconductor material (PbS)
Metal Halide Perovskite Nanorods: Shape Matters,https://onlinelibrary.wiley.com/doi/10.1002/adma.202002736,https://doi.org/10.1002/adma.202002736,28/09/2020,Advanced Materials,"Xuyong Yang, Andrey L. Rogach, Guohua Jia","Shanghai University, City University of Hong Kong, Curtin University ",Optics & Photonics,"Lasers,LEDs and light sources", Luminescence,Perovskite (CsPbBr3),Metal Halides
